card,chosen card,success,matched on categories,active rule,win streak
"4,circle,blue","1,triangle,red",False,[],shape,0
"3,triangle,yellow","2,star,green",False,[],shape,0
"4,square,blue","3,square,yellow",True,['shape'],shape,1
"1,star,green","4,circle,blue",False,[],shape,0
"1,square,red","1,triangle,red",False,"['color', 'number']",shape,0
"4,star,red","2,star,green",True,['shape'],shape,1
"2,triangle,blue","3,square,yellow",False,[],shape,0
"3,circle,red","1,triangle,red",False,['color'],shape,0
"4,triangle,blue","2,star,green",False,[],shape,0
