card,chosen card,success,matched on categories,active rule,win streak
"4,star,red","1,triangle,red",False,['color'],shape,0
"1,star,green","2,star,green",True,"['shape', 'color']",shape,1
"2,triangle,green","2,star,green",False,"['color', 'number']",shape,0
"3,triangle,green","1,triangle,red",True,['shape'],shape,1
"4,star,yellow","2,star,green",True,['shape'],shape,2
"4,circle,red","4,circle,blue",True,"['shape', 'number']",shape,3
"2,triangle,yellow","1,triangle,red",True,['shape'],shape,4
"3,circle,red","4,circle,blue",True,['shape'],shape,5
"1,circle,blue","4,circle,blue",True,"['shape', 'color']",color,1
