1,colorshapenumber,color,1
1,color,color,2
0,,color,0
0,,color,0
0,number,color,0
0,number,color,0
1,color,color,1
0,,color,0
0,,color,0
0,number,color,0
0,shapenumber,color,0
0,,color,0
1,color,color,1
1,colorshape,color,2
0,,color,0
0,shape,color,0
1,colornumber,color,1
0,,color,0
0,shape,color,0
0,,color,0
0,,color,0
0,,color,0
0,,color,0
0,,color,0
0,shapenumber,color,0
1,color,color,1
1,color,color,2
0,,color,0
0,shape,color,0
1,color,color,1
0,,color,0
0,,color,0
1,colornumber,color,1
0,shape,color,0
0,,color,0
0,number,color,0
0,,color,0
0,number,color,0
0,,color,0
0,shape,color,0
0,shape,color,0
0,,color,0
0,shape,color,0
1,color,color,1
1,colornumber,color,2
1,colorshape,color,3
0,number,color,0
0,,color,0
0,,color,0
1,color,color,1
0,,color,0
0,shapenumber,color,0
0,shape,color,0
0,number,color,0
1,color,color,1
0,,color,0
0,number,color,0
1,colorshape,color,1
0,,color,0
0,,color,0
0,,color,0
0,number,color,0
0,,color,0
0,shape,color,0
